3.8173 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
13.9735 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
16.4557 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

16.4572 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe0d3a93f10>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe0e5a047c0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.4577 	EXP 	window1: mouseVisible = True
16.4599 	EXP 	window1: mouseVisible = False
16.4599 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
16.4599 	EXP 	window1: recordFrameIntervals = False
16.6216 	EXP 	window1: recordFrameIntervals = True
17.6118 	WARNING 	t of last frame was 25.98ms (=1/38)
18.2890 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.2992 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
21.3071 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
21.3384 	EXP 	Imported /Users/yashithanki/Downloads/conditions.xlsx as conditions, 1 conditions, 5 params
21.4679 	EXP 	window1: recordFrameIntervals = False
21.4811 	DATA 	Keypress: right
21.4926 	EXP 	window1: recordFrameIntervals = True
22.4925 	EXP 	fixation: autoDraw = True
23.3384 	WARNING 	t of last frame was 33.23ms (=1/30)
23.3384 	EXP 	grating: autoDraw = True
23.3384 	EXP 	grating: tex = 'sin'
23.5048 	EXP 	fixation: autoDraw = False
23.6549 	EXP 	grating: autoDraw = False
24.3552 	EXP 	window1: recordFrameIntervals = False
24.3574 	DATA 	Keypress: left
24.3632 	EXP 	fixation: autoDraw = False
24.3632 	EXP 	grating: autoDraw = False
24.3633 	EXP 	window1: recordFrameIntervals = True
25.3671 	EXP 	fixation: autoDraw = True
26.3531 	EXP 	grating: autoDraw = True
